,YEAR,STATE,total energy generation,clean energy generation,clean_energy_percent
171,1993,LA,157951070.0,2632630.0,0.01666737680219577
172,1993,MA,74158416.0,4125124.0,0.05562583753137338
173,1993,MD,89955776.0,3924178.0,0.0436234133536906
174,1993,ME,31228544.0,7469774.0,0.23919699874576286
175,1993,MI,212737098.0,2952064.0,0.013876583011393715
176,1993,MN,88081270.0,3355936.0,0.03810044973238919
177,1993,MO,107105938.0,6224848.0,0.058118607765705765
178,1993,MS,51883052.0,,
179,1993,MT,47745708.0,19228176.0,0.4027205125956034
180,1993,NC,190628888.0,10551754.0,0.055352334636710465
181,1993,ND,57326820.0,2830220.0,0.049369910977095886
182,1993,NE,45521714.0,2014826.0,0.04426076750976468
183,1993,NH,32485520.0,3156960.0,0.09718052843236001
184,1993,NJ,96689764.0,1679496.0,0.017369946212713892
185,1993,NM,57489056.0,611286.0,0.010633084669193386
186,1993,NV,47004944.0,7024470.0,0.14944108857995875
187,1993,NY,248442062.0,60065114.0,0.24176708853752793
188,1993,OH,270474584.0,577316.0,0.002134455635210442
189,1993,OK,106319346.0,8592824.0,0.08082088842043855
190,1993,OR,83819170.0,71918636.0,0.8580213333059729
191,1993,PA,362428264.0,5836800.0,0.016104704240174822
192,1993,RI,9330592.0,168366.0,0.01804451421731869
193,1993,SC,156349670.0,5546296.0,0.03547366617403158
194,1993,SD,10511022.0,5182230.0,0.4930281755665624
195,1993,TN,147768398.0,16911456.0,0.11444568817752224
196,1993,TX,599377430.0,4310006.0,0.007190804632066309
197,1993,UT,68116204.0,2016334.0,0.029601385303267926
198,1993,VA,122487020.0,1941518.0,0.01585080606908389
199,1993,VT,9287530.0,1962572.0,0.21131258795395547
200,1993,WA,175991552.0,135054746.0,0.767393346244256
201,1993,WI,100477104.0,5314348.0,0.052891134282691904
202,1993,WV,149498328.0,2228202.0,0.014904527895455794
203,1993,WY,81542708.0,1574854.0,0.019313241350777804
204,1994,AK,11933032.0,2723378.0,0.22822179643865867
205,1994,AL,201528514.0,22871840.0,0.11349183073914791
206,1994,AR,84064296.0,6993986.0,0.08319805592614492
207,1994,AZ,143868992.0,15339724.0,0.10662286422358475
208,1994,CA,372383982.0,88256304.0,0.23700349173450752
209,1994,CO,71303822.0,3368732.0,0.04724476059642357
210,1994,CT,62357834.0,3908112.0,0.06267235003704587
212,1994,DE,18460552.0,,
213,1994,FL,316293692.0,6903322.0,0.021825670807244554
214,1994,GA,208712818.0,9936924.0,0.04761051139657364
215,1994,HI,20217804.0,2150436.0,0.10636348042547054
216,1994,IA,66334012.0,2260722.0,0.03408088749403549
217,1994,ID,17453594.0,15856726.0,0.9085077835544931
218,1994,IL,282598590.0,821104.0,0.002905548821032688
219,1994,IN,214364114.0,887720.0,0.004141178219783559
220,1994,KS,75239738.0,19818.0,0.0002633980463887314
221,1994,KY,168194068.0,8027180.0,0.0477257021930167
222,1994,LA,158771922.0,2129682.0,0.01341346740137088
223,1994,MA,75878128.0,4451416.0,0.058665337658303854
224,1994,MD,90679236.0,4723200.0,0.0520868967180094
225,1994,ME,32912300.0,8046530.0,0.2444839771149388
226,1994,MI,196614778.0,2784814.0,0.014163808175192203
227,1994,MN,87795310.0,3598246.0,0.04098448994598914
228,1994,MO,123755356.0,3702102.0,0.029914681026007472
229,1994,MS,57340996.0,,
230,1994,MT,50305698.0,16299014.0,0.32399936086762976
231,1994,NC,201657324.0,15236240.0,0.07555510356767405
232,1994,ND,58311650.0,3740088.0,0.06413963590466056
233,1994,NE,43966262.0,2642430.0,0.0601013113191201
234,1994,NH,26924998.0,3230342.0,0.11997557065742401
235,1994,NJ,96870684.0,1967462.0,0.020310190026117704
236,1994,NM,60781348.0,447384.0,0.0073605475153331575
237,1994,NV,49035454.0,6741638.0,0.13748497158810846
238,1994,NY,252059144.0,57098962.0,0.22653001630442735
239,1994,OH,263527220.0,441202.0,0.0016742179422679752
240,1994,OK,100117544.0,4929270.0,0.049234827414463944
241,1994,OR,76881624.0,62632456.0,0.8146609390040981
242,1994,PA,368157402.0,6669628.0,0.018116240400892443
243,1994,RI,9465840.0,170064.0,0.01796607591085419
244,1994,SC,153885044.0,4939054.0,0.0320957376468632
245,1994,SD,15982520.0,10257520.0,0.6417961623073207
246,1994,TN,156669914.0,23002872.0,0.14682379923946343
247,1994,TX,614359048.0,3838004.0,0.006247167698586576
248,1994,UT,70393668.0,1890484.0,0.026855881412515683
249,1994,VA,124097848.0,2118368.0,0.017070142908521668
250,1994,VT,11234060.0,2077306.0,0.18491142116029288
251,1994,WA,177172952.0,131600582.0,0.7427803201021339
252,1994,WI,104717910.0,4873306.0,0.04653746431723093
253,1994,WV,162859084.0,2291270.0,0.01406903406137296
254,1994,WY,86004570.0,1794418.0,0.020864216866615343
255,1995,AK,12052232.0,2771408.0,0.22994977195925204
256,1995,AL,210378732.0,19018014.0,0.09039893823487823
257,1995,AR,83944176.0,6481932.0,0.07721717347014044
258,1995,AZ,139561878.0,16956896.0,0.12150091588764662
259,1995,CA,362926682.0,136662544.0,0.3765568936593094
260,1995,CO,71234468.0,4512104.0,0.06334158345928828
261,1995,CT,62944936.0,4534456.0,0.07203845596093703
263,1995,DE,18065674.0,,
264,1995,FL,334828744.0,7141444.0,0.021328646742467247
265,1995,GA,215757192.0,9604794.0,0.04451668058416333
266,1995,HI,20607966.0,1982426.0,0.09619707253010802
267,1995,IA,69505856.0,2134452.0,0.030708952062974377
268,1995,ID,23689210.0,22004642.0,0.9288888063384132
269,1995,IL,297315862.0,930526.0,0.003129755653601825
270,1995,IN,218313692.0,1103202.0,0.005053288183134203
271,1995,KS,76841410.0,22480.0,0.0002925505921872074
272,1995,KY,172331672.0,6846956.0,0.03973126889873151
273,1995,LA,169119448.0,2108762.0,0.012469068607650612
274,1995,MA,75308962.0,3896480.0,0.05173992439306228
275,1995,MD,92731286.0,3886396.0,0.041910299831278086
276,1995,ME,19526102.0,7833234.0,0.4011673195192773
277,1995,MI,214889224.0,3093806.0,0.014397213328854498
278,1995,MN,90341768.0,3737794.0,0.04137393016262422
279,1995,MO,131441916.0,3758008.0,0.028590636186404953
280,1995,MS,57961722.0,1694.0,2.9226184825909763e-05
281,1995,MT,51922628.0,21491706.0,0.41391791648142306
282,1995,NC,212589312.0,11485812.0,0.05402817240407646
283,1995,ND,58008494.0,4958720.0,0.08548265362655338
284,1995,NE,50608600.0,2884652.0,0.05699924518757681
285,1995,NH,30868758.0,3090396.0,0.10011403762989103
286,1995,NJ,90197316.0,2276558.0,0.02523975325385514
287,1995,NM,59662318.0,545946.0,0.009150599881151114
288,1995,NV,47927988.0,6990460.0,0.1458533998965281
289,1995,NY,266826562.0,53601248.0,0.20088422831007358
290,1995,OH,278687804.0,508162.0,0.0018234095382229213
291,1995,OK,105334734.0,5433830.0,0.05158630770359186
292,1995,OR,90531106.0,81688130.0,0.9023211314793834
293,1995,PA,370902622.0,4879092.0,0.01315464413190371
294,1995,RI,8976426.0,177796.0,0.01980699222608196
295,1995,SC,161827296.0,5733232.0,0.035428089955850214
296,1995,SD,17623586.0,12019742.0,0.682025894162516
297,1995,TN,171461670.0,18143532.0,0.1058168394137302
298,1995,TX,635272492.0,3556722.0,0.0055987344718839175
299,1995,UT,65614776.0,2216970.0,0.03378766392496715
300,1995,VA,125992042.0,1850936.0,0.014690896112311601
301,1995,VT,10320124.0,1945314.0,0.18849715371637007
302,1995,WA,204395172.0,165394882.0,0.8091917259180662
303,1995,WI,107846262.0,5223186.0,0.048431775966421536
304,1995,WV,161074854.0,2385358.0,0.014809003024146774
305,1995,WY,80503218.0,1597006.0,0.01983779083216276
306,1996,AK,12257784.0,2555696.0,0.20849576073456672
307,1996,AL,242945822.0,22178414.0,0.09128954685213726
308,1996,AR,92067126.0,5636174.0,0.06121809428481562
309,1996,AZ,143309636.0,18959506.0,0.1322974960315997
310,1996,CA,350526408.0,130413820.0,0.3720513405654732
