,year,coal,naturalGas,nuclear,petroleum,State
47,1973,0.42,0.81,0.0,2.36,SD
48,1972,0.46,0.77,0.0,1.9,SD
49,1971,0.44,0.75,0.0,2.03,SD
50,1970,0.44,0.69,0.0,2.05,SD
0,2020,2.16,4.88,0.62,,TN
1,2019,2.34,5.32,0.65,19.69,TN
2,2018,2.31,5.72,0.68,20.74,TN
3,2017,2.38,5.92,0.71,18.09,TN
4,2016,2.37,5.2,0.71,15.92,TN
5,2015,2.58,5.98,0.72,18.26,TN
6,2014,2.64,7.47,0.72,26.08,TN
7,2013,2.63,6.83,0.77,27.1,TN
8,2012,2.85,6.01,0.73,27.56,TN
9,2011,2.96,7.61,0.67,26.97,TN
10,2010,2.75,8.13,0.64,21.18,TN
11,2009,2.66,9.41,0.55,17.5,TN
12,2008,2.35,12.01,0.47,24.52,TN
13,2007,1.99,10.73,0.35,19.65,TN
14,2006,1.79,11.63,0.41,17.85,TN
15,2005,1.64,11.32,0.34,15.81,TN
16,2004,1.4,8.63,0.34,12.39,TN
17,2003,1.29,7.64,0.36,10.3,TN
18,2002,1.25,6.39,0.37,9.02,TN
19,2001,1.26,8.05,0.39,9.33,TN
20,2000,1.13,5.87,0.43,10.01,TN
21,1999,1.17,4.65,0.44,7.7,TN
22,1998,1.17,4.83,0.65,7.13,TN
23,1997,1.17,5.12,0.48,8.49,TN
24,1996,1.18,4.84,0.47,8.63,TN
25,1995,1.19,4.23,0.58,7.87,TN
26,1994,1.28,4.66,1.0,7.75,TN
27,1993,1.28,4.48,0.95,7.81,TN
28,1992,1.3,4.14,0.94,7.87,TN
29,1991,1.28,3.91,0.85,8.11,TN
30,1990,1.35,3.98,0.84,8.43,TN
31,1989,1.36,3.87,0.89,7.33,TN
32,1988,1.35,3.75,0.83,6.73,TN
33,1987,1.38,3.69,0.0,6.74,TN
34,1986,1.44,4.2,0.0,6.5,TN
35,1985,1.55,4.46,0.78,7.9,TN
36,1984,1.62,4.4,0.65,7.92,TN
37,1983,1.69,4.62,0.5,8.17,TN
38,1982,1.74,4.04,0.4,9.19,TN
39,1981,1.71,3.24,0.42,9.73,TN
40,1980,1.54,2.69,0.38,8.45,TN
41,1979,1.36,2.17,0.0,5.87,TN
42,1978,1.22,1.77,0.0,4.31,TN
43,1977,1.06,1.69,0.0,4.12,TN
44,1976,0.93,1.29,0.0,3.85,TN
45,1975,0.91,0.93,0.0,3.79,TN
46,1974,0.58,0.77,0.0,3.36,TN
47,1973,0.4,0.65,0.0,2.35,TN
48,1972,0.38,0.65,0.0,2.16,TN
49,1971,0.35,0.59,0.0,2.17,TN
50,1970,0.26,0.54,0.0,2.11,TN
0,2020,2.05,2.88,0.62,,TX
1,2019,2.01,3.22,0.65,14.78,TX
2,2018,1.78,3.89,0.68,16.75,TX
3,2017,1.76,3.91,0.71,14.65,TX
4,2016,1.83,3.27,0.71,12.46,TX
5,2015,2.0,3.48,0.72,14.1,TX
6,2014,2.03,5.21,0.72,21.65,TX
7,2013,2.0,4.47,0.77,22.1,TX
8,2012,1.91,3.52,0.73,22.91,TX
9,2011,1.9,4.73,0.67,24.4,TX
10,2010,1.87,5.18,0.64,19.08,TX
11,2009,1.89,4.65,0.55,15.63,TX
12,2008,1.9,9.16,0.48,23.43,TX
13,2007,1.65,7.11,0.46,18.36,TX
14,2006,1.51,7.0,0.38,16.6,TX
15,2005,1.35,8.11,0.38,14.23,TX
16,2004,1.32,6.13,0.36,11.1,TX
17,2003,1.26,5.63,0.37,8.97,TX
18,2002,1.28,3.66,0.35,7.45,TX
19,2001,1.33,4.64,0.41,7.97,TX
20,2000,1.23,4.29,0.45,8.66,TX
21,1999,1.21,2.73,0.5,6.09,TX
22,1998,1.25,2.54,0.52,5.24,TX
23,1997,1.26,3.05,0.54,6.55,TX
24,1996,1.29,2.78,0.56,7.03,TX
25,1995,1.33,2.23,0.56,6.16,TX
26,1994,1.34,2.5,0.6,6.05,TX
27,1993,1.42,2.78,0.69,5.78,TX
28,1992,1.48,2.45,0.52,5.87,TX
29,1991,1.49,2.28,0.49,6.12,TX
30,1990,1.44,2.45,0.56,6.43,TX
31,1989,1.44,2.5,0.42,5.17,TX
32,1988,1.47,2.44,0.37,5.0,TX
33,1987,1.54,2.38,0.0,5.28,TX
34,1986,1.55,2.62,0.0,4.92,TX
35,1985,1.6,3.38,0.0,6.69,TX
36,1984,1.68,3.68,0.0,7.17,TX
37,1983,1.68,3.53,0.0,7.23,TX
38,1982,1.61,3.44,0.0,7.64,TX
39,1981,1.47,2.78,0.0,8.03,TX
40,1980,1.22,2.17,0.0,6.85,TX
41,1979,1.14,1.93,0.0,4.86,TX
42,1978,0.87,1.71,0.0,3.52,TX
43,1977,0.8,1.36,0.0,3.55,TX
44,1976,0.74,1.21,0.0,3.27,TX
45,1975,0.61,0.89,0.0,3.08,TX
46,1974,0.67,0.54,0.0,2.78,TX
47,1973,0.42,0.36,0.0,1.7,TX
48,1972,0.39,0.34,0.0,1.59,TX
49,1971,0.45,0.33,0.0,1.62,TX
50,1970,0.39,0.29,0.0,1.54,TX
0,2020,2.05,5.45,0.0,,UT
1,2019,1.99,5.47,0.0,21.64,UT
2,2018,2.03,6.12,0.0,22.5,UT
3,2017,1.97,6.51,0.0,19.42,UT
4,2016,1.95,6.0,0.0,17.04,UT
5,2015,1.96,6.4,0.0,19.59,UT
6,2014,2.11,6.82,0.0,27.48,UT
7,2013,2.05,6.29,0.0,28.19,UT
8,2012,1.95,5.86,0.0,28.78,UT
9,2011,1.8,6.5,0.0,28.26,UT
10,2010,1.71,6.25,0.0,22.54,UT
11,2009,1.59,6.42,0.0,18.08,UT
12,2008,1.41,7.36,0.0,25.73,UT
13,2007,1.39,7.19,0.0,20.85,UT
14,2006,1.27,8.81,0.0,18.96,UT
15,2005,1.19,8.22,0.0,16.53,UT
16,2004,1.17,6.79,0.0,13.08,UT
17,2003,1.04,5.89,0.0,10.82,UT
18,2002,0.98,5.15,0.0,9.66,UT
19,2001,1.15,6.43,0.0,10.12,UT
20,2000,1.06,4.88,0.0,10.53,UT
21,1999,1.07,4.05,0.0,8.3,UT
22,1998,1.17,4.17,0.0,7.6,UT
23,1997,1.16,3.83,0.0,8.91,UT
24,1996,1.13,3.29,0.0,8.73,UT
25,1995,1.14,3.37,0.0,7.85,UT
26,1994,1.19,3.65,0.0,7.6,UT
27,1993,1.24,3.99,0.0,7.59,UT
28,1992,1.27,4.18,0.0,7.69,UT
29,1991,1.27,4.21,0.0,7.44,UT
30,1990,1.24,4.17,0.0,8.03,UT
31,1989,1.3,3.99,0.0,7.11,UT
32,1988,1.33,3.94,0.0,6.65,UT
33,1987,1.25,4.16,0.0,6.46,UT
34,1986,1.45,4.41,0.0,6.13,UT
35,1985,1.47,4.01,0.0,7.98,UT
36,1984,1.48,4.46,0.0,7.88,UT
37,1983,1.41,3.57,0.0,7.93,UT
38,1982,1.52,3.26,0.0,9.09,UT
39,1981,1.5,2.74,0.0,9.19,UT
40,1980,1.34,2.33,0.0,7.58,UT
41,1979,1.28,2.08,0.0,5.4,UT
42,1978,1.17,1.74,0.0,3.8,UT
43,1977,1.14,1.48,0.0,3.65,UT
44,1976,1.16,1.3,0.0,3.39,UT
45,1975,0.92,1.07,0.0,3.3,UT
46,1974,0.92,0.8,0.0,2.99,UT
47,1973,0.49,0.71,0.0,2.04,UT
48,1972,0.44,0.65,0.0,1.8,UT
49,1971,0.43,0.63,0.0,1.71,UT
50,1970,0.39,0.57,0.0,1.68,UT
0,2020,0.0,7.07,0.0,,VT
1,2019,0.0,7.54,0.0,21.5,VT
2,2018,0.0,8.17,0.0,22.98,VT
3,2017,0.0,8.48,0.0,20.3,VT
4,2016,0.0,8.38,0.0,18.02,VT
5,2015,0.0,9.4,0.0,20.25,VT
6,2014,0.0,10.51,0.8,28.05,VT
7,2013,0.0,10.52,0.84,28.58,VT
8,2012,0.0,11.23,0.77,29.28,VT
9,2011,0.0,11.46,0.7,28.27,VT
10,2010,0.0,11.47,0.65,22.76,VT
11,2009,0.0,12.75,0.57,19.54,VT
12,2008,0.0,14.0,0.47,26.96,VT
13,2007,3.81,12.67,0.48,21.67,VT
14,2006,3.72,11.55,0.45,19.83,VT
15,2005,3.34,9.93,0.43,17.12,VT
16,2004,2.71,8.64,0.44,13.49,VT
17,2003,2.59,7.81,0.44,11.79,VT
18,2002,2.68,7.47,0.47,10.48,VT
19,2001,2.34,7.58,0.4,10.85,VT
20,2000,2.29,5.39,0.44,11.16,VT
21,1999,2.32,5.08,0.44,8.59,VT
22,1998,2.55,4.81,0.45,7.96,VT
23,1997,2.59,4.88,0.43,8.93,VT
24,1996,2.59,5.07,0.47,9.12,VT
25,1995,2.56,5.22,0.48,8.51,VT
26,1994,2.59,5.4,0.49,8.24,VT
27,1993,2.71,4.99,0.54,8.15,VT
28,1992,2.66,5.03,0.53,8.27,VT
29,1991,2.74,4.51,0.56,8.65,VT
30,1990,2.99,4.65,0.57,9.12,VT
31,1989,2.78,4.56,0.62,7.89,VT
32,1988,2.84,4.51,0.71,7.0,VT
33,1987,2.75,4.92,0.69,6.93,VT
34,1986,2.47,5.0,0.7,6.95,VT
35,1985,2.57,5.59,0.64,8.8,VT
36,1984,2.35,5.64,0.59,8.81,VT
37,1983,2.21,5.83,0.6,9.13,VT
38,1982,2.23,6.33,0.69,9.44,VT
39,1981,2.33,6.27,0.56,9.86,VT
40,1980,1.96,5.62,0.58,8.41,VT
41,1979,1.9,3.44,0.41,6.01,VT
42,1978,1.83,3.1,0.37,4.21,VT
43,1977,1.89,2.96,0.34,4.01,VT
44,1976,1.72,2.45,0.35,3.69,VT
45,1975,2.35,1.87,0.31,3.63,VT
46,1974,1.62,1.39,0.17,3.46,VT
47,1973,0.99,1.39,0.16,2.3,VT
48,1972,0.87,1.38,0.07,2.12,VT
49,1971,0.77,1.45,0.0,2.09,VT
50,1970,0.72,1.41,0.0,1.97,VT
0,2020,3.11,4.14,0.57,,VA
1,2019,3.57,4.98,0.59,19.12,VA
2,2018,3.03,5.69,0.63,20.35,VA
3,2017,2.99,5.28,0.66,17.87,VA
4,2016,2.98,4.82,0.65,15.85,VA
5,2015,3.11,5.6,0.63,18.07,VA
6,2014,3.46,7.74,0.61,25.87,VA
7,2013,3.62,6.73,0.71,26.82,VA
8,2012,4.04,5.98,0.54,27.32,VA
9,2011,3.91,7.67,0.32,26.65,VA
10,2010,3.53,8.11,0.54,20.84,VA
11,2009,3.31,8.67,0.53,17.36,VA
12,2008,2.93,12.49,0.49,25.02,VA
13,2007,2.57,10.88,0.52,19.68,VA
14,2006,2.5,11.39,0.52,18.3,VA
15,2005,2.36,11.58,0.44,15.65,VA
16,2004,1.97,9.58,0.46,12.1,VA
17,2003,1.69,8.61,0.46,10.31,VA
18,2002,1.73,6.62,0.44,9.19,VA
19,2001,1.63,8.23,0.44,9.46,VA
20,2000,1.38,7.0,0.43,10.06,VA
21,1999,1.42,5.32,0.44,7.57,VA
22,1998,1.45,5.32,0.45,6.97,VA
23,1997,1.47,5.96,0.43,8.25,VA
24,1996,1.49,5.35,0.42,8.45,VA
25,1995,1.51,4.47,0.46,7.75,VA
26,1994,1.51,4.66,0.45,7.41,VA
27,1993,1.52,4.92,0.43,7.44,VA
28,1992,1.53,4.62,0.43,7.56,VA
29,1991,1.56,4.65,0.53,7.64,VA
30,1990,1.59,4.62,0.47,8.02,VA
31,1989,1.57,4.95,0.39,6.88,VA
32,1988,1.57,4.4,0.53,6.4,VA
33,1987,1.59,4.53,0.56,6.39,VA
34,1986,1.69,5.06,0.53,5.91,VA
35,1985,1.79,5.68,0.55,8.11,VA
36,1984,1.82,5.8,0.53,8.03,VA
37,1983,1.7,5.9,0.46,8.18,VA
38,1982,1.95,5.09,0.55,8.93,VA
39,1981,1.93,4.04,0.59,9.2,VA
40,1980,1.71,3.62,0.74,7.49,VA
41,1979,1.67,3.03,0.48,5.09,VA
42,1978,1.61,2.72,0.47,3.78,VA
43,1977,1.4,2.49,0.43,3.67,VA
44,1976,1.2,2.02,0.33,3.34,VA
45,1975,1.3,1.71,0.28,3.16,VA
46,1974,1.3,1.33,0.26,2.83,VA
47,1973,0.5,1.11,0.25,1.73,VA
48,1972,0.47,1.06,0.25,1.54,VA
49,1971,0.5,0.99,0.0,1.49,VA
50,1970,0.42,0.96,0.0,1.49,VA
0,2020,2.28,6.8,0.65,,WA
1,2019,2.34,6.2,0.69,22.02,WA
2,2018,2.42,6.59,0.75,22.99,WA
3,2017,2.41,7.0,0.76,19.63,WA
4,2016,2.37,6.91,0.67,16.36,WA
5,2015,2.5,7.48,0.71,18.98,WA
6,2014,2.62,7.83,0.8,26.7,WA
7,2013,2.07,8.02,0.84,27.36,WA
8,2012,2.09,9.0,0.77,28.18,WA
9,2011,2.34,9.77,0.7,27.72,WA
10,2010,2.32,8.97,0.65,21.84,WA
11,2009,2.35,10.15,0.57,17.85,WA
12,2008,2.27,10.65,0.48,25.07,WA
13,2007,1.92,10.52,0.47,19.87,WA
14,2006,1.74,10.1,0.48,18.56,WA
15,2005,1.45,9.52,0.42,16.11,WA
16,2004,1.46,7.67,0.38,13.33,WA
17,2003,1.42,6.19,0.43,11.18,WA
18,2002,1.63,6.6,0.47,9.35,WA
19,2001,1.15,7.59,0.5,9.9,WA
20,2000,1.71,5.34,0.47,9.78,WA
21,1999,1.58,3.82,0.42,7.32,WA
22,1998,1.52,3.68,0.42,6.38,WA
23,1997,1.68,4.22,0.44,7.81,WA
24,1996,1.62,4.01,0.46,7.76,WA
25,1995,1.58,3.98,0.42,6.87,WA
26,1994,1.46,4.09,0.47,6.75,WA
27,1993,1.44,3.94,0.46,6.67,WA
28,1992,1.44,3.68,0.38,6.18,WA
29,1991,1.64,3.56,0.45,7.02,WA
30,1990,1.65,3.6,0.47,6.95,WA
31,1989,1.62,4.02,0.48,5.97,WA
32,1988,1.62,3.96,0.49,5.4,WA
33,1987,1.73,3.81,0.7,5.6,WA
34,1986,1.76,4.53,0.7,5.52,WA
35,1985,1.74,5.23,0.71,7.39,WA
36,1984,1.81,5.59,0.67,7.5,WA
37,1983,1.73,5.68,0.58,7.8,WA
38,1982,1.61,5.83,0.54,8.17,WA
39,1981,1.29,4.9,0.48,8.25,WA
40,1980,1.13,4.48,0.43,7.13,WA
41,1979,0.99,3.15,0.34,5.16,WA
42,1978,0.91,2.71,0.3,3.91,WA
43,1977,0.81,2.39,0.27,3.74,WA
44,1976,0.83,2.01,0.25,3.49,WA
45,1975,0.61,1.6,0.24,3.24,WA
46,1974,0.43,1.08,0.21,2.88,WA
47,1973,0.4,0.84,0.2,1.94,WA
48,1972,0.22,0.8,0.18,1.71,WA
49,1971,0.58,0.75,0.18,1.77,WA
50,1970,0.55,0.71,0.18,1.72,WA
0,2020,2.11,4.93,0.0,,WV
1,2019,2.21,5.32,0.0,20.97,WV
2,2018,2.2,5.86,0.0,22.69,WV
3,2017,2.28,5.35,0.0,20.1,WV
4,2016,2.32,5.16,0.0,17.73,WV
5,2015,2.4,6.22,0.0,19.99,WV
6,2014,2.49,7.27,0.0,28.3,WV
7,2013,2.62,6.98,0.0,28.91,WV
8,2012,2.73,7.2,0.0,29.21,WV
9,2011,2.71,7.87,0.0,28.92,WV
10,2010,2.66,8.42,0.0,22.84,WV
11,2009,2.78,10.89,0.0,19.12,WV
12,2008,2.46,12.05,0.0,24.41,WV
13,2007,1.91,10.87,0.0,19.74,WV
14,2006,1.74,11.33,0.0,18.11,WV
15,2005,1.6,11.11,0.0,16.14,WV
16,2004,1.4,8.81,0.0,12.69,WV
17,2003,1.28,7.58,0.0,11.02,WV
18,2002,1.25,5.94,0.0,9.27,WV
19,2001,1.28,6.09,0.0,10.09,WV
20,2000,1.23,5.46,0.0,10.85,WV
21,1999,1.22,4.98,0.0,8.31,WV
22,1998,1.28,4.91,0.0,7.78,WV
23,1997,1.26,4.56,0.0,9.17,WV
24,1996,1.27,4.69,0.0,9.02,WV
25,1995,1.29,4.54,0.0,8.66,WV
26,1994,1.39,4.6,0.0,8.41,WV
27,1993,1.43,4.43,0.0,8.5,WV
28,1992,1.47,4.41,0.0,8.39,WV
29,1991,1.51,4.59,0.0,8.61,WV
30,1990,1.47,4.4,0.0,8.7,WV
31,1989,1.43,4.08,0.0,7.43,WV
32,1988,1.44,4.08,0.0,6.76,WV
33,1987,1.43,4.48,0.0,6.79,WV
34,1986,1.5,4.99,0.0,6.46,WV
35,1985,1.61,5.28,0.0,8.59,WV
36,1984,1.63,5.24,0.0,8.49,WV
37,1983,1.68,5.37,0.0,8.84,WV
38,1982,1.73,4.6,0.0,9.24,WV
39,1981,1.64,3.71,0.0,9.64,WV
40,1980,1.46,3.18,0.0,8.36,WV
41,1979,1.34,2.61,0.0,5.88,WV
42,1978,1.28,2.15,0.0,4.39,WV
43,1977,1.15,2.18,0.0,4.18,WV
44,1976,1.06,1.41,0.0,3.89,WV
45,1975,1.02,1.16,0.0,3.93,WV
46,1974,0.91,0.87,0.0,3.57,WV
47,1973,0.41,0.75,0.0,2.54,WV
48,1972,0.4,0.7,0.0,2.35,WV
49,1971,0.36,0.67,0.0,2.31,WV
50,1970,0.31,0.62,0.0,2.15,WV
0,2020,2.06,4.66,0.62,,WI
1,2019,2.34,5.15,0.65,20.48,WI
2,2018,2.37,5.51,0.68,21.6,WI
3,2017,2.3,5.74,0.71,18.99,WI
4,2016,2.29,5.31,0.71,16.8,WI
5,2015,2.38,5.9,0.72,19.16,WI
6,2014,2.44,8.39,0.72,26.88,WI
7,2013,2.44,6.7,0.77,27.45,WI
8,2012,2.51,6.42,0.73,28.12,WI
9,2011,2.61,7.82,0.67,27.34,WI
10,2010,2.24,8.4,0.64,21.72,WI
11,2009,2.14,8.69,0.55,18.42,WI
12,2008,2.07,11.22,0.5,25.04,WI
13,2007,1.79,10.17,0.51,21.03,WI
14,2006,1.59,10.19,0.53,19.03,WI
15,2005,1.38,10.37,0.49,16.6,WI
16,2004,1.25,8.76,0.44,13.28,WI
17,2003,1.18,8.0,0.45,11.49,WI
18,2002,1.18,6.07,0.47,10.05,WI
19,2001,1.11,7.71,0.52,10.65,WI
20,2000,1.08,6.27,0.5,10.87,WI
21,1999,1.08,4.84,0.51,8.3,WI
22,1998,1.13,4.63,0.49,7.9,WI
23,1997,1.15,5.12,0.47,8.95,WI
24,1996,1.12,4.7,0.46,9.2,WI
25,1995,1.2,4.3,0.44,8.43,WI
26,1994,1.27,4.75,0.41,8.14,WI
27,1993,1.27,4.91,0.4,7.99,WI
28,1992,1.38,4.6,0.4,8.11,WI
29,1991,1.41,4.4,0.45,8.33,WI
30,1990,1.41,4.55,0.48,8.55,WI
31,1989,1.5,4.61,0.45,7.61,WI
32,1988,1.53,4.88,0.43,6.89,WI
33,1987,1.53,5.03,0.48,6.98,WI
34,1986,1.68,5.14,0.51,6.68,WI
35,1985,1.76,5.37,0.58,8.7,WI
36,1984,1.78,5.38,0.67,8.65,WI
37,1983,1.79,5.47,0.83,8.66,WI
38,1982,1.8,4.95,0.8,9.22,WI
39,1981,1.65,4.22,0.53,9.42,WI
40,1980,1.44,3.43,0.47,8.15,WI
41,1979,1.39,2.66,0.34,5.81,WI
42,1978,1.26,2.3,0.34,4.11,WI
43,1977,1.11,2.05,0.32,4.14,WI
44,1976,1.05,1.7,0.36,3.8,WI
45,1975,1.05,1.3,0.32,3.66,WI
46,1974,0.84,1.03,0.22,3.45,WI
47,1973,0.57,0.94,0.2,2.38,WI
48,1972,0.56,0.89,0.15,2.0,WI
49,1971,0.53,0.82,0.15,2.0,WI
50,1970,0.53,0.79,0.15,1.89,WI
0,2020,1.74,4.77,0.0,,WY
1,2019,1.69,4.61,0.0,20.63,WY
2,2018,1.73,4.77,0.0,21.72,WY
3,2017,1.71,5.27,0.0,18.56,WY
4,2016,1.71,4.97,0.0,16.2,WY
5,2015,1.67,5.92,0.0,18.49,WY
6,2014,1.63,6.67,0.0,26.02,WY
7,2013,1.56,5.58,0.0,26.48,WY
8,2012,1.48,5.61,0.0,26.91,WY
9,2011,1.52,6.35,0.0,26.47,WY
10,2010,1.31,5.92,0.0,21.15,WY
11,2009,1.19,6.81,0.0,17.18,WY
12,2008,1.18,8.1,0.0,25.93,WY
13,2007,1.1,7.01,0.0,21.14,WY
14,2006,1.03,9.24,0.0,19.5,WY
15,2005,0.97,8.47,0.0,16.99,WY
16,2004,0.89,6.88,0.0,12.74,WY
17,2003,0.85,5.47,0.0,10.46,WY
18,2002,0.82,5.09,0.0,9.24,WY
19,2001,0.8,6.6,0.0,9.66,WY
20,2000,0.82,4.48,0.0,10.04,WY
21,1999,0.79,3.7,0.0,7.84,WY
22,1998,0.81,3.62,0.0,7.23,WY
23,1997,0.83,3.54,0.0,8.23,WY
24,1996,0.84,3.25,0.0,8.43,WY
25,1995,0.84,3.43,0.0,7.77,WY
26,1994,0.83,3.66,0.0,7.57,WY
27,1993,0.83,3.7,0.0,7.53,WY
28,1992,0.79,3.17,0.0,7.73,WY
29,1991,0.86,3.48,0.0,7.64,WY
30,1990,0.86,3.57,0.0,7.93,WY
31,1989,0.89,3.82,0.0,7.09,WY
32,1988,0.88,3.75,0.0,6.18,WY
33,1987,0.91,3.93,0.0,6.1,WY
34,1986,1.0,4.01,0.0,6.16,WY
35,1985,1.01,4.28,0.0,7.57,WY
36,1984,1.05,4.54,0.0,7.73,WY
37,1983,0.97,4.24,0.0,7.87,WY
38,1982,0.84,3.97,0.0,7.98,WY
39,1981,0.8,3.02,0.0,8.39,WY
40,1980,0.7,2.45,0.0,7.34,WY
41,1979,0.62,2.37,0.0,5.22,WY
42,1978,0.53,1.67,0.0,3.75,WY
43,1977,0.47,1.22,0.0,3.62,WY
44,1976,0.39,0.88,0.0,3.44,WY
45,1975,0.31,0.71,0.0,3.33,WY
46,1974,0.28,0.52,0.0,3.0,WY
47,1973,0.21,0.45,0.0,2.0,WY
48,1972,0.19,0.45,0.0,1.76,WY
49,1971,0.16,0.47,0.0,1.78,WY
50,1970,0.16,0.38,0.0,1.77,WY
